id,sex,grade,sleep_hours,caffeine_cups,phone_hours,exercise_hours,exam_score
S001,M,본과3,7.0,2,2.3,2.9,89.5
S002,F,본과1,5.8,2,3.3,2.5,74.3
S003,M,본과4,6.2,2,6.2,2.5,78.9
S004,M,본과2,6.1,2,2.3,2.6,80.0
S005,M,예과1,6.9,1,0.8,2.9,90.0
S006,F,본과4,7.8,2,1.2,0.0,78.7
S007,F,본과3,6.3,2,4.0,1.5,77.5
S008,M,본과3,7.0,2,4.0,0.0,79.8
S009,M,예과1,4.2,2,3.8,2.1,64.5
S010,F,본과1,6.2,2,5.8,2.0,74.4
S011,M,본과1,5.3,2,0.5,3.6,81.9
S012,F,본과4,4.9,2,4.6,3.8,66.3
S013,M,본과2,5.3,4,6.3,2.3,59.8
S014,M,본과3,5.9,3,2.3,1.2,68.2
S015,M,본과1,7.3,2,3.4,2.7,81.1
S016,M,예과2,5.0,1,2.9,1.2,74.2
S017,M,본과2,6.3,2,2.7,2.0,72.3
S018,M,예과1,6.0,2,3.5,3.5,77.4
S019,F,본과3,5.9,4,6.1,1.2,71.8
S020,M,본과2,7.4,2,6.8,3.2,79.1
S021,M,본과3,6.8,2,3.5,3.0,88.3
S022,M,본과1,7.7,2,6.9,0.6,81.8
S023,M,본과4,6.1,2,4.1,3.5,69.2
S024,F,본과4,5.5,3,6.6,3.0,77.7
S025,M,본과3,6.0,2,3.9,2.2,70.7
S026,F,예과2,6.8,1,4.2,0.9,83.0
S027,M,본과1,6.4,2,4.5,0.7,73.5
S028,F,예과1,5.3,2,8.8,1.2,60.2
S029,M,예과2,6.6,1,5.3,2.8,65.2
S030,F,본과2,6.5,2,2.9,0.6,75.1
S031,M,본과3,9.0,2,5.5,2.7,74.9
S032,M,본과4,8.3,2,3.5,0.1,88.1
S033,F,본과1,5.3,3,3.3,1.7,80.7
S034,F,본과1,5.9,3,5.4,2.2,66.2
S035,F,본과1,4.6,2,4.0,5.7,73.2
S036,M,예과2,5.9,2,4.4,0.0,67.3
S037,F,예과1,6.8,1,4.0,4.2,77.0
